252,Computer software publishing,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,12,,3,,Increase,Yes,,,"ICT business analysts, systems analysts and programmers",Developer programmers,,,,,,,ICT sales,,,,,,"$1,000,000 to $4,999,999",100,,,,No,Yes,Increase,Increase,Irregularly,,,Computer software,,,,,,,,,,,,,,,,,,,Oceania and Pacific Islands,,New Zealand,,,,,,,,,,Developing new products and services,30,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Barrier,Barrier,Barrier,Barrier
253,Internet publishing,Privately owned (100% Australian),Regional Victoria,2 to 4 years,1,,,2,Increase,No,,,,Developer programmers,,,,"Software engineers, testers and app programmers",,,,,,,,,"$0 to $199,999",,,100,,No,Yes,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Canada,UK,Brazil,,Customising/modifying existing products and services,10,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Major Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,,Barrier
254,Internet and web design consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,60,7,9,84,Increase,Yes,,ICT professionals,"ICT business analysts, systems analysts and programmers",,,,,,,,ICT sales,,,,,Other,"More than $10,000,000",60,20,5,15,No,No,Increase,Increase,Regularly,,,,,Internet and web design,Internet publishing and broadcasting,,Hardware and software maintenance,,,,South East Asia,East Asia,South Asia,,,,,North America,Central America and Caribbean,South America,,,Thailand,Mexico,India,Vietnam,Philippines,Mexico,Thailand,India,Vietnam,Philippines,Developing new products and services,3,Barrier,Barrier,Neither a barrier nor an enabler,Enabler,Barrier,Enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler
255,"Internet and data services (incl. data centre hosting, cloud services)",Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,2,3,1,,Stay the same,No,,,,,,,,,,,,,,"Business management, human resources and other support functions",,,"$0 to $199,999",50,50,,,No,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia,EU,New Zealand,,,Implementing new or significantly improved marketing methods,100,Major Barrier,Barrier,Neither a barrier nor an enabler,Major Barrier,Not Applicable,Not Applicable,Not Applicable,Enabler,Enabler,Enabler,Not Applicable,Not Applicable,Not Applicable,Major Barrier,Not Applicable,Major Barrier,Not Applicable,Barrier
256,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,1,,,,Increase,Yes,,,,,,,,,,,,,,,,Other,"$0 to $199,999",100,,,,No,No,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler
257,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,3,3,2,6,Increase,Yes,,,,,,,,,"Technicians – ICT, telecommunications and electronics",,ICT sales,,,,,,"$1,000,000 to $4,999,999",20,20,60,,Yes,Yes,Increase,Increase,Regularly,,,Computer software,,,,,,,,,South East Asia,East Asia,,,,Western Europe,,North America,,,Oceania and Pacific Islands,,USA,UK,Sweden,New Zealand,India,USA,Sweden,Norway,UK,Denmark,Developing new products and services,15,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Major Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
259,Internet and web design consulting,Privately owned (100% Australian),Interstate,5 to 9 years,4,1,11,,Stay the same,No,,,"ICT business analysts, systems analysts and programmers",Developer programmers,,,,,,,,,,,,Other,"$1,000,000 to $4,999,999",25,75,,,No,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementing new or significantly improved organisational processes/structures,10,Barrier,Major Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
261,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,15,,,35,Increase,Yes,,,,,,,,,,,,,,,,,"$1,000,000 to $4,999,999",2,8,,90,Yes,Yes,Stay the same,Decrease,Regularly,,,Computer software,,,,,Hardware and software maintenance,,,,South East Asia,East Asia,South Asia,Middle East,Eastern Europe and Russia,Western Europe,,North America,,South America,,,North America,EU,Russia,Asia,Middle East,North America,Asia,EU,Russia,South America,Customising/modifying existing products and services,60,Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier,Major Barrier,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Barrier,Not Applicable,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier,Enabler
262,Internet and web design consulting,Privately owned (100% Australian),Interstate,2 to 4 years,,,5,1,Increase,Yes,,,,Developer programmers,,,,,,,,,,,,,"$500,000 to $999,999",10,90,,,Yes,Yes,Increase,Stay the same,Irregularly,,,,,Internet and web design,,,,,,,,,,,,,,North America,,,Oceania and Pacific Islands,,New Zealand,USA,,,,UK,New Zealand,USA,,,,,,,,,,,,,,,,,,,,,,
264,Manufacturing – ICT equipment,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,25,5,,20,Increase,Yes,ICT managers,,,Developer programmers,,,,,,,,,,,,,"$5,000,000 to $9,999,999",30,30,,40,Yes,Yes,Increase,Stay the same,Regularly,,"Other ICT and telecommunications equipment, parts and components",,,Internet and web design,,Information storage and retrieval,,Telecommunications services,,,,,,,,Western Europe,,North America,,,,,USA,UK,,,,USA,UK,Germany,Russia,France,Developing new products and services,70,Neither a barrier nor an enabler,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler
266,Computer software publishing,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,35,,1,14,Increase,No,,,,,,,,"Software engineers, testers and app programmers",,,,,,,,,"$1,000,000 to $4,999,999",10,40,,50,No,No,Stay the same,Decrease,Regularly,,,Computer software,Computer services,Internet and web design,,,,,,,,,,,,Western Europe,Africa,North America,,,,,The Netherlands,USA,UK,,,The Netherlands,USA,UK,New Zealand,,Customising/modifying existing products and services,45,Major Barrier,Major Barrier,Barrier,Major Barrier,Major Barrier,Major Enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Barrier,Major Barrier,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler
267,Internet publishing,Listed on foreign exchange,Overseas,Less than 2 years,2,3,5,1400,Increase,Yes,,,,Developer programmers,,,,,,,,,,,,,"More than $10,000,000",,,100,,No,Yes,Increase,Increase,Regularly,,,,,,Internet publishing and broadcasting,,,,,,,,,,,,,North America,,,,,USA,Canada,UK,,,,,,,,Developing new products and services,10,Enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
268,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Regional Victoria,10 to 19 years,1,3,,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$0 to $199,999",100,,,,Yes,No,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Enabler,Enabler,Major Enabler,Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler
270,Telecommunications services,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,14,1,,,Increase,Yes,,,,,,,,,"Technicians – ICT, telecommunications and electronics","Trades workers – Electrotechnology, electronics and  telecommunications",,,,,,,"$1,000,000 to $4,999,999",100,,,,Yes,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,10,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
271,Internet and web design consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,1,,,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$0 to $199,999",100,,,,Yes,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,0,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Not Applicable,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
272,Telecommunications services,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,3,2,,,Increase,Yes,,ICT professionals,,,,ICT security specialists,ICT network and support professionals (e.g. computer network and systems engineers),,"Technicians – ICT, telecommunications and electronics","Trades workers – Electrotechnology, electronics and  telecommunications",,,,,,,"$500,000 to $999,999",25,65,10,,Yes,Yes,Increase,Stay the same,Irregularly,,,,,,,,,,,Other,,,,,,,,,,,Oceania and Pacific Islands,,New Zealand,Fiji,Guam,Papua New Guinea,Marshall Islands,New Zealand,Guam,Fiji,Papua New Guinea,Marshall Islands,Implementing new or significantly improved marketing methods,5,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Enabler,Enabler,Barrier,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Enabler,Enabler
273,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,12,3,,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$1,000,000 to $4,999,999",80,19,,1,No,No,Increase,Decrease,Irregularly,,,Computer software,,,,,Hardware and software maintenance,,,,,,South Asia,,,Western Europe,,,,,,,India,UK,,,,USA,EU,India,China,Thailand,Developing new products and services,15,Major Barrier,Major Barrier,Enabler,Barrier,Major Enabler,Major Enabler,Major Enabler,Enabler,Enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,,Major Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
274,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (50-100% foreign owned),Overseas,Less than 2 years,10,,35,650,Increase,No,,,,Developer programmers,,,,,,,,,,,,Other,"More than $10,000,000",10,20,70,,Yes,No,Increase,Increase,Irregularly,,,Computer software,,,,,,,,,,,,,,,,,,,Oceania and Pacific Islands,,USA,UK,New Zealand,,,,,,,,Customising/modifying existing products and services,,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Barrier
276,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,1,,,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$0 to $199,999",100,,,,Yes,Yes,Stay the same,Decrease,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company not involved in innovation,0,Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Enabler,Enabler,Not Applicable,Barrier,Not Applicable,Major Barrier,Barrier,Neither a barrier nor an enabler,Not Applicable,Not Applicable,Neither a barrier nor an enabler
277,Wholesaling – ICT goods,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,15,,,3,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"More than $10,000,000",40,50,5,5,No,No,Increase,Increase,Regularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,Hardware and software maintenance,,,Other,South East Asia,,South Asia,,,,,,,,Oceania and Pacific Islands,,New Zealand,Pakistan,Guam,Indonesia,Malaysia,Pakistan,New Zealand,Guam,Indonesia,Malaysia,Customising/modifying existing products and services,3,Major Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Major Enabler,Major Barrier,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Enabler,Major Enabler,Major Enabler,Major Barrier,Barrier,Major Barrier,Barrier,Barrier
278,Computer software publishing,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,5,3,,,Increase,No,,ICT professionals,,,,,,,,,,,Research and development,,,,"$200,000 to $499,999",100,,,,No,Yes,Increase,Stay the same,Irregularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,UK,,,,Developing new products and services,80,Enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
279,Systems analysis and computer programming,Privately owned (100% Australian),Interstate,10 to 19 years,170,5,675,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$1,000,000 to $4,999,999",20,80,,,Yes,Yes,Increase,Increase,Irregularly,,,Computer software,,,,,,,,,South East Asia,,,,,,,North America,,,,,North America,Hong Kong,,,,North America,Hong Kong,,,,Customising/modifying existing products and services,15,Major Enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Major Enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
280,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,55,5,1,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"More than $10,000,000",98,2,,,No,No,Increase,Increase,Irregularly,,,Computer software,,,,,,,,,,East Asia,South Asia,,,,,North America,,,,,USA,China,India,,,USA,EU,India,China,,Implementing new or significantly improved operational processes,10,Enabler,Enabler,Enabler,Enabler,Enabler,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Enabler,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Neither a barrier nor an enabler,Enabler,Enabler
281,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,1,1,,,Increase,No,,ICT professionals,,,,,,,,,,ICT trainers,,,,,"$0 to $199,999",90,10,,,Yes,Yes,Increase,Decrease,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Singapore,EU,China,,,Developing new products and services,20,Neither a barrier nor an enabler,,Neither a barrier nor an enabler,Enabler,,Not Applicable,Enabler,Major Enabler,Neither a barrier nor an enabler,Enabler,Not Applicable,Not Applicable,Barrier,Neither a barrier nor an enabler,Not Applicable,Not Applicable,Not Applicable,Not Applicable
282,Manufacturing – ICT equipment,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,5,2,,,Increase,Yes,,ICT professionals,,Developer programmers,,,,"Software engineers, testers and app programmers",,,,,Research and development,,,,"$500,000 to $999,999",80,20,,,Yes,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiwan,Malaysia,Brazil,,,Developing new products and services,70,Barrier,Barrier,Major Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Major Barrier,Major Barrier
283,Telecommunications services,Listed on ASX,Interstate,10 to 19 years,30,,,,Decrease,Yes,,,,,,ICT security specialists,,,,,ICT sales,,,"Business management, human resources and other support functions",,,"More than $10,000,000",30,70,,,No,Yes,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,0,Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Enabler,Enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Major Barrier,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
284,"Internet and data services (incl. data centre hosting, cloud services)",Privately owned (100% Australian),Regional Victoria,2 to 4 years,,14,,,Decrease,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$500,000 to $999,999",80,20,,,No,Yes,Stay the same,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customising/modifying existing products and services,15,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Not Applicable,Major Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Enabler,Barrier,Neither a barrier nor an enabler,Barrier,Not Applicable,Not Applicable,Not Applicable,Not Applicable
285,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,24,3,1,,Stay the same,Yes,,,,,,,,,,,,,,,,,"$1,000,000 to $4,999,999",6,53,,41,No,Yes,Increase,Stay the same,Regularly,,,Computer software,Computer services,,,,,,,,,,,,Eastern Europe and Russia,Western Europe,Africa,North America,,,,,UK,South Africa,Russia,Austria,New Zealand,USA,UK,Austria,South Africa,Russia,Developing new products and services,40,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Barrier,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Major Barrier,Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
288,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,2,,,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$200,000 to $499,999",100,,,,Yes,No,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,,,,,Customising/modifying existing products and services,15,Barrier,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Not Applicable,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Barrier,Enabler,Barrier,Neither a barrier nor an enabler,Barrier,Enabler,Enabler
289,Internet publishing,Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,3,,,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$1,000,000 to $4,999,999",90,10,,,Yes,Yes,Stay the same,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,10,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,,Neither a barrier nor an enabler,Neither a barrier nor an enabler
290,Computer hardware maintenance and consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,22,,,,Increase,No,ICT managers,,"ICT business analysts, systems analysts and programmers",,,,ICT network and support professionals (e.g. computer network and systems engineers),,,,ICT sales,,,,,,"$1,000,000 to $4,999,999",95,5,,,Yes,No,Increase,Decrease,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementing new or significantly improved organisational processes/structures,1,Barrier,Barrier,Barrier,Major Barrier,Major Barrier,Barrier,Major Barrier,Major Enabler,Major Enabler,Barrier,Barrier,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
291,Wholesaling – ICT goods,Privately owned (100% Australian),Interstate,Less than 2 years,2,2,1,,Stay the same,Yes,,,"ICT business analysts, systems analysts and programmers",,,,,,,,,,,,,,"$0 to $199,999",10,90,,,No,No,Stay the same,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementing new or significantly improved marketing methods,40,Enabler,,Major Barrier,,,,,,,,,,,,,,,
292,Telecommunications services,Privately owned (100% Australian),Regional Victoria,10 to 19 years,3,,,,Stay the same,Yes,,,,,,,,,,"Trades workers – Electrotechnology, electronics and  telecommunications",,,,,,,"$200,000 to $499,999",100,,,,Yes,No,Decrease,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementing new or significantly improved marketing methods,1.5,Barrier,Major Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Major Barrier,Barrier,Neither a barrier nor an enabler
293,Wholesaling – ICT goods,Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,14,,,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$1,000,000 to $4,999,999",65,34,,1,No,No,Increase,Stay the same,Irregularly,,"Other ICT and telecommunications equipment, parts and components",Computer software,,,,,,,,,,,,,,,,North America,,South America,Oceania and Pacific Islands,,Fiji,Guyana,USA,New Zealand,,USA,Fiji,Guyana,,,Developing new products and services,,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Enabler,Not Applicable,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Major Enabler,Barrier,Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Not Applicable,Not Applicable
295,Telecommunications services,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,35,45,3,120,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"More than $10,000,000",,1,,99,Yes,Yes,Stay the same,Stay the same,Regularly,,,,,,,,,Telecommunications services,,,,,,,,Western Europe,,,,,,,Sweden,,,,,Sweden,USA,China,,,Implementing new or significantly improved marketing methods,30,Major Barrier,Barrier,Barrier,Enabler,Barrier,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Enabler,Barrier,Barrier,Barrier,Major Barrier,Barrier
297,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,46,,1,,Increase,Yes,,,"ICT business analysts, systems analysts and programmers",Developer programmers,,,,"Software engineers, testers and app programmers",,,,,,,,,"$5,000,000 to $9,999,999",30,70,,,Yes,Yes,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thailand,USA,UK,,,Developing new products and services,5,Major Enabler,Barrier,Major Barrier,Barrier,Barrier,Barrier,Major Enabler,Major Enabler,Major Enabler,Not Applicable,Not Applicable,Not Applicable,Enabler,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
298,"Software development and installation (incl. game, app and e-learning resource development)",Listed on ASX,Metropolitan Melbourne,20 or more years,350,11,459,190,Stay the same,Yes,,,,,,,,,,,,,,,,,"More than $10,000,000",35,65,,,Yes,No,Stay the same,Decrease,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,5,Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Major Enabler,Major Enabler,Major Enabler,Enabler,Major Enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Barrier,Enabler,Enabler
299,Telecommunications services,Privately owned (50-100% foreign owned),Metropolitan Melbourne,5 to 9 years,7,,,1,Increase,Yes,,,,,,,,,"Technicians – ICT, telecommunications and electronics",,,,,,,,"$1,000,000 to $4,999,999",15,35,,50,Yes,Yes,Increase,Stay the same,Regularly,,,,,,,,,Telecommunications services,,,South East Asia,,,,,Western Europe,,North America,,,Oceania and Pacific Islands,,USA,Singapore,Malaysia,New Zealand,Taiwan,USA,Malaysia,Thailand,Indonesia,Philippines,Customising/modifying existing products and services,5,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Major Barrier,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Barrier
300,"Software development and installation (incl. game, app and e-learning resource development)",Listed on foreign exchange,Overseas,10 to 19 years,24,2,1,400,Increase,Yes,,,,,,,,,,,,,,,,Other,"More than $10,000,000",0.1,0.1,97.4,2.4,Yes,No,Increase,,Regularly,,,Computer software,,,,,,,,Other,South East Asia,East Asia,,,Eastern Europe and Russia,Western Europe,,North America,,,,,South Korea,USA,Japan,China,Taiwan,South Korea,China,USA,Japan,Taiwan,Developing new products and services,27,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Barrier,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Not Applicable,Barrier,Barrier,Not Applicable,Enabler,Neither a barrier nor an enabler
